name,modrinth,curseforge,description
,Q1vvjJYV,322506,"Пакет шейдерів для Minecraft: Java Edition. Він яскравий, барвистий і унікальний."
,dEAKT8y9,345953,"Пакет шейдерів, який робить його максимально простим, але все ще додає динамічні тіні та максимально зберігає оригінальне відтворення."
,PYhc7nNa,338898,Шейдери створені для ідеального поєднання природи та фантазії.
,UaS8ROxa,602290,"Надзвичайно легкий, з тінями та відблисками."
,R6NEzAwj,385587,"Змініть зовнішній вигляд Minecraft з винятковою якістю, деталізацією та продуктивністю."
,ygChbn8J,855381,Швидкий і високоякісний пакет шейдерів із реалістичними візуальними ефектами та атмосферою PBR.
,BS9T99lD,832754,"Простий шейдер Java для Minecraft, який намагається зберегти естетику ванільного кольору, додаючи додаткові тіні, кольорове освітлення та трасування променів."
,71EyVfCn,486209,"Шейдер, який додає Minecraft реалістичності та чудового вигляду."
,EpQFjzrQ,678384,Високопродуктивний пакет шейдерів у фентезійному стилі з барвистим освітленням і приголомшливими візуальними ефектами.
,sclYVqbt,759541,"Пакет шейдерів, який покращує враження від настроюваних налаштувань і чудової імітації освітлення."
,ZvitaqQh,449652,Пакет шейдерів на основі застарілого шейдера Chocapic13.
,Xl42lc6c,669144,Мінімалістичний і високопродуктивний пакет шейдерів трасування променів.
,ZvMtQlho,610844,Ефективний набір шейдерів у фентезійному стилі з акцентом на варіаціях і налаштуваннях сцени.
,LMIZZNxZ,534748,"Пакет шейдерів, створений для передачі стилю скасованого Super Duper Graphics Pack та інших популярних ігор Minecraft."
,xEItlMn3,326302,Передайте суть застарілих шейдерів для стилізованого та сучасного вигляду Minecraft.
,y0Lb3GNS,544096,
,sC1oZTSS,920167,Легкий і зручний для гри пакет шейдерів!
,UDDa70lE,363825,"Цей пакет шейдерів — це, по суті, лише вільний рімейк мого старого моду SEUS без використання його коду."
,WX4iF5Cj,467280,"Дуже легкий пакет шейдерів, але все одно виглядає чудово по-своєму."
,Y8161YLz,322270,"Високоякісний і реалістичний, але також стилізований пакет шейдерів."
,EPsIYDj1,322360,"Пакет шейдерів, який надає Minecraft сучасного візуального вигляду, залишаючись вірним своєму оригінальному вигляду."
,HVnmMxH1,627557,"Збереження елементів Minecraft з винятковою якістю, деталізацією та продуктивністю."
,izsIPI7a,431203,"MakeUp прагне забезпечити найкраще співвідношення якість/продуктивність, створюючи шейдер, який може адаптуватися до будь-яких ресурсів."
,RphJSnEs,406081,"Пакет шейдерів з широкими можливостями налаштування. Якщо ви любите спеціальні ефекти, цей пакет шейдерів для вас!"
,EQWX2WiO,618217,"Стилізований пакет шейдерів Iris на тему жахів, який можна налаштувати та продуктивний."
,iHC8BZn4,1040578,"Атмосферний набір шейдерів жахів із можливістю налаштування, наступник Insanity Shader."
,6uJCfiCH,921717,Жахлива модифікована версія додаткових шейдерів.
,by2i3tnt,1093481,Додано ефект телекамери.
,w8N6pbsN,758336,"OPAL Shaders — це пакет шейдерів Minecraft Java Edition, заснований на шейдерах BSL, створених капітаном Тацу. Він розроблений, щоб поєднати фантастичну атмосферу з природними кольорами та контрастами, залишаючись вірним оригінальному стилю Minecraft."
,pgzM6RBY,1085570,Пакет шейдерів для Minecraft: Java Edition. Він орієнтований на оригінальну естетику.
,BkTdFBUU,813185,"Прекрасний, високоефективний пакет шейдерів пастельних кольорів із кількома попередніми налаштуваннями кольорів."
,CiFGzRV9,969143,
,fMpu8QDi,273654,
,YU49BElv,676136,
,sAZ9WsJP,1159841,
,e2fAZfFz,1016013,
,BUxf36AP,1113130,
,4kHmJd4i,508365,
,yhuqxlbn,1038016,
,Ah4Q0Hhi,1112674,
,XaonJnsc,1167228,
,LTvf5Tji,1155908,
,lLqFfGNs,1110131,
,1BZ68dI8,1092607,
,bNFqrJXS,996289,
,7eXucZxq,331780,
,D5k8BTVz,883885,
,BWnGghPW,1058040,
,tLyAc6iV,1086316,
,Kqx96bgP,914435,
,hgAKxFQg,1078762,
,5aFJgbak,1091924,
,HpOC6pyc,665460,
,SvynK6FG,1109406,
