name,modrinth,curseforge,description
,Q1vvjJYV,322506,"Pack de shaders pour Minecraft : Java Edition. C'est lumineux, coloré et unique."
,dEAKT8y9,345953,Un pack de shaders qui reste aussi simple que possible mais ajoute toujours des ombres dynamiques et préserve autant que possible le rendu original.
,PYhc7nNa,338898,Shaders conçus pour allier parfaitement nature et fantaisie.
,UaS8ROxa,602290,"Extrêmement léger, avec des ombres et des reflets."
,R6NEzAwj,385587,"Transformez l'apparence de Minecraft avec une qualité, des détails et des performances exceptionnels."
,ygChbn8J,855381,Un pack de shaders rapide et de haute qualité avec des visuels réalistes et une atmosphère PBR.
,BS9T99lD,832754,"Un simple shader Java pour Minecraft qui tente de conserver l'esthétique vanille tout en ajoutant des ombres, un éclairage coloré et un traçage de rayons en option."
,71EyVfCn,486209,Un shader qui ajoute du réalisme et une superbe apparence à Minecraft.
,EpQFjzrQ,678384,Un pack de shaders de style fantastique hautes performances avec un éclairage coloré et des effets visuels époustouflants.
,sclYVqbt,759541,Un pack de shaders qui améliore l'expérience avec des paramètres personnalisables et de superbes simulations d'éclairage.
,ZvitaqQh,449652,Un pack de shaders basé sur l'ancien shader Chocapic13.
,Xl42lc6c,669144,Un package de shader de traçage de rayons minimaliste et performant.
,ZvMtQlho,610844,Un pack de shaders de style fantastique très performant mettant l'accent sur la variation et la personnalisation de la scène.
,LMIZZNxZ,534748,Un pack de shaders conçu pour transmettre le style du Super Duper Graphics Pack annulé et d'autres titres Minecraft populaires.
,xEItlMn3,326302,Capturez l'essence des shaders hérités pour un look Minecraft stylisé et moderne.
,y0Lb3GNS,544096,
,sC1oZTSS,920167,Un pack de shaders léger et convivial !
,UDDa70lE,363825,Ce pack de shaders n'est fondamentalement qu'un remake libre de mon ancien mod SEUS sans utiliser aucun de son code.
,WX4iF5Cj,467280,Un pack de shaders très léger mais toujours magnifique à sa manière.
,Y8161YLz,322270,"Un pack de shaders de haute qualité et réaliste, mais aussi stylisé."
,EPsIYDj1,322360,Un pack de shaders qui donne à Minecraft une refonte visuelle moderne tout en restant fidèle à son look original.
,HVnmMxH1,627557,"Préserver les éléments de Minecraft avec une qualité, des détails et des performances exceptionnels."
,izsIPI7a,431203,"MakeUp vise à fournir le meilleur rapport qualité/performance, en construisant un shader capable de s'adapter aux ressources de chacun."
,RphJSnEs,406081,"Pack de shaders hautement personnalisable. Si vous aimez les effets spéciaux, ce pack de shaders est fait pour vous !"
,EQWX2WiO,618217,"Un pack de shaders Iris stylisé sur le thème de l'horreur, hautement personnalisable et performant."
,iHC8BZn4,1040578,"Pack de shader d'horreur atmosphérique et hautement personnalisable, le successeur d'Insanity Shader."
,6uJCfiCH,921717,Une horrible version modifiée de Complementary Shaders.
,by2i3tnt,1093481,Ajout d'un effet de caméra corporelle.
,w8N6pbsN,758336,OPAL Shaders est un pack de shaders Minecraft Java Edition basé sur les Shaders BSL créés par le Capt Tatsu. Il est conçu pour mélanger une atmosphère fantastique avec des couleurs et des contrastes naturels tout en restant fidèle au style original de Minecraft.
,pgzM6RBY,1085570,Pack de shaders pour Minecraft : Java Edition. Il est orienté vers l’esthétique originale.
,BkTdFBUU,813185,Un magnifique pack de shaders de couleurs pastel hautes performances avec plusieurs préréglages de couleurs.
,CiFGzRV9,969143,
,fMpu8QDi,273654,
,YU49BElv,676136,
,sAZ9WsJP,1159841,
,e2fAZfFz,1016013,
,BUxf36AP,1113130,
,4kHmJd4i,508365,
,yhuqxlbn,1038016,
,Ah4Q0Hhi,1112674,
,XaonJnsc,1167228,
,LTvf5Tji,1155908,
,lLqFfGNs,1110131,
,1BZ68dI8,1092607,
,bNFqrJXS,996289,
,7eXucZxq,331780,
,D5k8BTVz,883885,
,BWnGghPW,1058040,
,tLyAc6iV,1086316,
,Kqx96bgP,914435,
,hgAKxFQg,1078762,
,5aFJgbak,1091924,
,HpOC6pyc,665460,
,SvynK6FG,1109406,
