name,modrinth,curseforge,description
,ZnmdXAk2,564236,经典的Minecraft太空模组
,bXX9h73M,621768,添加控制器支持并全面增强控制功能。
,k2ZPuTBm,659085,用一个简单的模组增强你的Minecraft体验。免费托管世界，与朋友聊天，还有更多功能！
,ll2RO0er,878379,在地球深处和其他维度中，空气并不总是可以呼吸的。
,eFDDpt8w,630788,从60多种套装中选择，成为Minecraft中的真正超级英雄！
,gPCdW0Wr,605235,客户端模组，使气泡粒子弹出并让它们真实地上升到水面。
,P7dR8mSH,306612,轻量级模块化API，提供Fabric工具链模组使用的通用钩子和互操作性措施。
,derP0ten,852665,突变体回来了！面对前所未有的可怕生物和强大野兽。
,wQfMUdZT,313219,客户端模组，用单行彩色心形替换多个原版心形行
,Xbc0uyRg,624165,建筑工具与美学科技
,JmybsfWs,864781,一个添加随机内容的模组，可能会尝试融入Create主题！
,Wq5SjeWM,416796,轻松自定义Minecraft的菜单！
,1PfY6b5p,521393,模组访问JEI API的解决方案
,ohNO6lps,547434,NeoForge和Forge的配置系统提供给其他模组生态系统。专为多加载器架构设计。
,5aaWibi9,341284,数据驱动的饰品模组
,fU7jbFHc,891234,辅助库
,L6HW4EbG,841311,在服务器列表中添加一个标志，显示服务器的位置。
,fFEIiSDQ,412082,原版+扩展：罐子、路标、水龙头、风向标弹簧发射器、壁灯、花盆、灯光、装饰和自动化
,g96Z4WVZ,949555,专注于渲染以外内容的优化模组
,8BmcQJ2H,1248844,实体、方块、物品、盔甲等的3D动画库！
,dZ1APLkO,430735,允许在Minecraft中使用旧战斗系统和旧动画的模组。
,U6GY0xp0,924854,探索隐藏在主世界地表下的六个新稀有洞穴生物群系...
,uy4Cnpcm,228525,为其他模组提供的开源库！
,EltpO5cN,615106,一个确保没有人错过战利品的模组！所有战利品箱都是每个玩家独立的，并且视觉上独一无二。
,s9hF9QGp,581009,免费的Minecraft自定义披风和装饰
,bSkHUVQQ,268647,添加一个存储经验值的方块，所有玩家都可以访问
,qwvI41y9,911437,一个简单且可配置的模组，使所有（包括数据包和模组）结构更加分散（或更常见！），本质上使它们更稀有/更容易找到。在包含大量结构模组的大型整合包中非常有用，以鼓励探索
,iAiqcykM,561885,按下快捷键缩放，并用鼠标滚轮调整缩放比例！
,XaDC71GB,936015,为世界生成提供新配置性和兼容性增强的库模组
,YL57xq9U,993524,一个现代的Minecraft着色器包加载器，旨在与现有的OptiFine着色器包兼容
,cpRkny9R,331723,添加用竹子制作的额外方块/物品，兼容Forge和Fabric
,IAnP4np7,871698,Create的附加模组，实现自然生成包含早期Create装置和物品的结构。
,5lvjfaRs,882993,从调试屏幕中删除无用信息。
,mb68eIfx,545467,探索天空中巨大而美丽的村庄！
,1W98a849,535291,MCA Reborn是一个Minecraft模组，通过添加互动、婚姻、孩子遗传等，极大地扩展了村民的功能！
,ZP7xHXtw,833233,使资源包在后台加载，让你在等待时可以做其他事情！
,3azQ6p0W,398502,收藏/固定/书签某些世界，它们将始终位于列表顶部且无法删除。
,LN9BxssP,438332,Config Lib使处理配置文件变得更容易一些。
,P2rffivS,552662,我的其他项目的核心和库模组
,MI1LWe93,561625,彻底改造原版苦力怕的模组！
,MEbCLGFC,242436,使用JSON添加、删除和调整矿石生成特性
,lWDHr9jE,686836,大幅改变世界生成，添加山脉、地下河流等！
,u4fsP72v,687086,画作感觉太静态了？试试Funky Frames
,MdwFAVRL,687131,适用于Fabric和NeoForge的宝可梦模组
,lyvwxqAy,890301,专注于战斗专精（职业）的综合技能树模组
,L1RT5SJc,377835,为Create Mod添加护目镜头盔和装甲背罐
,n1EbSfq3,820727,专注于生存进度、游戏玩法和枪支定制的枪械模组！
,OuVm7tLU,964594,使GTCEu与Nutrition(UEL)兼容！
,aT8BzaOj,258587,物品躺在地上，木头在水中漂浮，石头在熔岩中不会燃烧，启用右键拾取物品，...
,jUlR3XZM,591861,为FTB Quests设计的Create主题，可以按章节或全局使用。高度可定制。
,yHf7SALy,652113,加速实体动画计算！
,aEK1KhsC,391656,🔆 按下G键将游戏中的亮度/伽马值调到最大并获得夜视效果。
,rEuzehyH,291936,在附近的容器中搜索物品
,VS1a14jA,941096,为Applied Energistics 2提供Polymorph支持。
,5faXoLqX,520110,包含新事件、助手和实用工具的模组库，使模组开发者的生活更轻松。
,eEpWUjwq,410426,帮助生物在远处看到
,qmCh2PxS,694349,用家具更好地装饰你的家！
,5ZwdcRci,686911,加速Minecraft中的即时模式渲染
,8oi3bsk5,513688,探索近100个由现实主义和轻度幻想组成的新生物群系，仅使用原版方块。配有多个沉浸式结构以配合改造后的地形。
,p19vrgc2,854949,Fusion允许资源包使用额外的纹理和模型类型，例如连接纹理！
,AtB5mHky,945479,让你看到玩家是否在打字、在GUI中、空闲，带有酷炫的游戏内视觉效果
,sH9tXU9f,840734,将液体燃料泵入烈焰燃烧器
,twkfQtEc,499980,动态数据包和注册、村民活动、自定义地图标记等
,r0v8vy1s,548115,高效且非位置依赖的红石粉实现
,Ha28R6CL,308769,这是一个为Fabric模组启用Kotlin编程语言的模组。
,uLbm7CG6,527334,减少加载时间并为语言提供回退支持
,G6VHtQr4,463826,一个用于Minecraft模组间共享代码的库。
,4fCwcdXD,299045,为神秘农业添加层级水晶。
,ziOp6EO8,693313,一个包含Corgi Taco模组通用代码的库模组。
,EiEOyeoL,368718,为Just Enough Items添加CraftTweaker支持
,yWSAtnfH,1084468,BisectHosting服务器订购菜单
,tTPzEplo,494133,电脑、键盘、RGB，真正的玩家还需要什么？！
,40FYwb4z,397876,一个核心模组和API，为开发者提供通过实体属性访问鞘翅飞行机制的权限。
,z3TzcquW,925511,修复画作渲染，提高性能并允许自定义模型
,bcOsQHnC,481655,女性性别模组引入了额外的玩家模型自定义选项，包括为你的角色添加个性化特色的独特功能。
,REH0O240,825617,通过在游戏中查找模组服务器，使它们更容易被发现！
,eUbrlzyb,284523,
,ZsrrjDbP,953637,优雅——可能充满敌意——迷失在七大洋中的船只...
,vvuO3ImH,394941,一个灵活且可扩展的饰品/装备API，供用户和开发者使用。
,yD9qW65f,931925,为Embeddium/Sodium提供额外的性能和质量功能，带来更精致的体验
,P0Mu4wcQ,401236,添加各种可以通过探索找到的宝藏物品
,VZWuyRVr,441114,为Minecraft中的每一本附魔书赋予独特纹理！
,t5W7Jfwy,319596,让你改变大多数实体的尺寸，缩小或放大它们的比例
,e0M1UDsY,526606,🎓 Collective是Serilum所有模组的共享库，包含通用代码。
,Ib1hetHL,451558,Lyøn Mods所有模组的核心组件。
,edU0NbZZ,681606,添加能够以3x3、3x3x3、5x5x1、5x5x3和最终的5x5x5范围挖掘的锤子！它们非常棒。
,fgmhI8kH,623908,增强并创建新的村庄和掠夺者前哨站，完美融入你的Minecraft世界。
,nkTZHOLD,704136,一个支持不同模组加载器的API，是像Factocrafty这样的模组的基础
,Fnrzx9Jl,676811,允许模组包开发者定义默认服务器属性。通常用于默认世界类型等设置
,JuksLGBQ,619986,在Fabric和Quilt上实现极速自定义GUI纹理，内置OptiFine自定义GUI资源包支持
,3mW8PdUo,646464,一个基础模组，在游戏内HUD上显示你的坐标。
,gedNE4y2,658587,为玩家添加动画效果
,FTeXqI9v,905861,Create: New Age是Create模组的扩展，添加了与电力的整合。
,2u6LRnMa,704113,一个跨平台API，为开发者简化物品、流体和能量的传输与存储，以及其他实用功能
,DPyowF4K,690674,MrCrayfish枪械模组的扩展，添加大量逼真枪械
,fzSKSXVK,583228,一个简单的模组，用于创建定时备份
,eNNKPxg3,913405,Expanded Combat的插件模组，添加与暮色森林的兼容性
,r4Knci2k,906239,Create模组的补充，添加新家具。
,xSfkjdDu,377448,飞向其他星球及更远的地方！
,qRidloO4,345023,🥛 允许绵羊、羊驼、猪、驴、马和骡子产出一桶牛奶。
,J5CVo2fm,356349,一个修复某些复制漏洞的模组。
,rOUBggPv,454372,SuperMartijn642的核心库添加了大量基础实现，允许在不同Minecraft版本间使用相似代码！
,cKLIJfSz,605554,以樱花树为主题的新生物群系，包含自定义结构和新型村庄！
,abooMhox,527685,🌲 用斧头瞬间砍倒整棵树和巨型蘑菇。包含快速树叶腐烂和树苗放置。
,o6qsdrrQ,927564,Nolij制作的过度设计的缩放模组
,nrJ2NpD0,552277,允许你在游戏中控制和显示音乐！
,dCKRaeBC,912441,Litematica的非官方(Neo)Forge移植版。一个现代的Minecraft客户端示意图模组。
,SFO4Ca80,525510,为Masa模组系列添加了一些功能。
,lhGA9TYQ,419699,一个旨在简化多平台模组开发的中间API。
,72GXx2MO,284324,在Minecraft中添加表情符号
,TLZe11Uj,620928,Fabric版Apotheosis移植，修改并扩展了许多系统
,KX1XC0Oo,915324,Formations Overworld为主世界添加了大量新结构！
,TyTPFOiF,429926,在你离开世界或服务器时截取游戏画面，并在重新加入时显示。
,Tg5fXO1x,577850,添加多种便携式工作台，比如便携式合成台
,zFCKsjVY,901658,动态渲染盔甲纹饰图案！
,2eT495vq,670986,一个旨在优化Minecraft内存使用的性能模组。
,FGlHZl7X,687497,End Remastered的前身，The Lost Castle引入了一座巨大的城堡。内部藏有无尽的财富和一个早已消失的文明留下的谜团...
,xl3myxch,550778,ApexStudios所有模组必需的库模组
,Lq6ojcWv,574409,Enderman Overhaul 添加了20多种新末影人变种，各有独特音效、模型和动画！
,WXDvMkR5,429291,禁用"实验性世界设置"警告界面
,IKARgflD,458048,栅栏可以斜向连接？等等，这不合法。
,lo90fZoB,845831,一个树形任务模组，允许包制作者为玩家创建和包含可完成的任务
,VXgaJQ9n,386320,一个基于FPS游戏A.V.A的模组，添加了枪械等内容
,KuQueJOG,635510,Warden Tools添加新的监守者装备并彻底重制远古城市战利品。
,eXrl5E3G,656526,数据驱动的方块和物品揭示系统。边探索边发现！
,DjLobEOy,626761,用新的村庄、掠夺者前哨站甚至新船只为你的世界增添趣味！
,T3yEYSUT,880620,Luna Pixel Studios所有模组包的核心模组。
,a7yNQPzW,579177,ProjectE的非官方扩展，提供EMC显示、更多被动生成EMC的方式等。
,oHGMwNDR,809542,村民扩展模组，新增多种村民类型、交易内容和精美工作站。
,WwbubTsV,374274,您的选择将得到尊重。
,m3pkVbY8,857972,可自动收集附近掉落物的独特箱子，非常实用！
,PRHeWeBs,881586,Create附属模组，主打末影风格方块。体验虚空马达、虚空箱和虚空罐的威力，轻松传输旋转力、物品与流体。
,EPteDGlY,438668,激活路标时为古旧地图添加标记
,ordsPcFz,351264,添加Kotlin语言加载器并提供可选工具集
,TaSmHw8V,904471,用各种乐器演奏自定义旋律，烦扰你的朋友吧！
,OK421ZCh,682644,繁花似锦：种植花卉染料或制作花束！[Fabric/Forge]
,LPuJjiQz,890745,当出现传说/闪光宝可梦时，向全服玩家广播消息
,Q3vyMuj2,353942,在雪原群系的树下生成积雪
,Aqlf1Shp,889079,基于NeoForge实现的Fabric API
,OoOVj3J3,323976,优化游戏内模型以实现更流畅动画和细腻特效
,Nn8Wasaq,867099,HypherionSA与First Dark开发组模组的核心库
,E9sX1ncV,256822,简易GUI编辑器，可修改当前世界的物品/方块/实体
